,dataset,bpp,FID,KID,NIQE,LPIPS,MS-SSIM,PSNR
0,clic2020,0.12902283,4.19736528,0.00108268,9.38350187,0.05394955,0.9553839,30.86970338
1,clic2020,0.24981422,2.38322568,0.00053555,9.28048124,0.03485062,0.97377288,32.9375868
2,clic2020,0.37383949,1.66647744,0.00035608,8.6921952,0.02499845,0.98172444,34.59938206
3,div2k,0.17268653,9.96830177,0.00120337,9.47402614,0.06124068,0.95155809,28.49394484
4,div2k,0.32447103,5.84229946,0.00053627,9.36838145,0.0385301,0.97143019,30.59894682
5,div2k,0.489503,3.94786787,0.00024038,8.82207186,0.02592616,0.98089158,32.46940243
6,kodak,0.1825587,,,11.2748119,0.06864742,0.93721463,27.56470037
7,kodak,0.35108609,,,11.86824715,0.04278131,0.96430352,29.65373484
8,kodak,0.53773159,,,10.93795208,0.02784851,0.97751017,31.7428445
